iter	Passed	Remaining
214	1094	3996
215	1098	3988
216	1102	3979
217	1107	3971
218	1112	3966
219	1116	3959
220	1121	3953
221	1125	3945
222	1130	3937
223	1134	3930
224	1138	3920
225	1142	3913
226	1147	3907
227	1151	3900
228	1155	3891
229	1159	3883
230	1164	3875
231	1168	3867
232	1172	3858
233	1176	3851
234	1180	3843
235	1184	3835
236	1188	3827
237	1193	3820
238	1197	3813
239	1202	3807
240	1206	3800
241	1210	3793
242	1215	3786
243	1219	3779
244	1223	3771
245	1227	3763
246	1232	3756
247	1236	3749
248	1241	3743
249	1245	3736
250	1249	3729
251	1253	3722
252	1258	3714
253	1261	3706
254	1265	3698
255	1270	3691
256	1274	3684
257	1278	3678
258	1283	3672
259	1287	3664
260	1291	3657
261	1296	3650
262	1300	3644
263	1304	3637
264	1308	3630
265	1313	3623
266	1317	3618
267	1322	3610
268	1326	3605
269	1331	3598
270	1335	3591
271	1339	3586
272	1344	3579
273	1348	3573
274	1353	3567
275	1357	3561
276	1361	3554
277	1365	3547
278	1370	3540
279	1374	3533
280	1379	3529
281	1384	3523
282	1388	3516
283	1392	3510
284	1396	3503
285	1400	3496
286	1405	3491
287	1409	3484
288	1413	3477
289	1417	3470
290	1421	3463
291	1425	3457
292	1430	3451
293	1434	3445
294	1438	3438
295	1443	3432
296	1447	3426
297	1451	3420
298	1456	3414
299	1460	3407
300	1464	3400
301	1468	3395
302	1473	3389
303	1477	3383
304	1481	3376
305	1486	3370
306	1490	3364
307	1494	3358
308	1498	3351
309	1503	3345
310	1507	3339
311	1511	3333
312	1516	3327
313	1520	3321
314	1524	3315
315	1529	3309
316	1533	3303
317	1537	3297
318	1541	3290
319	1545	3284
320	1549	3278
321	1554	3272
322	1558	3267
323	1563	3262
324	1568	3256
325	1572	3251
326	1577	3246
327	1581	3239
328	1585	3233
329	1589	3227
330	1593	3221
331	1598	3215
332	1602	3209
333	1606	3203
334	1610	3197
335	1614	3191
336	1619	3185
337	1623	3179
338	1627	3173
339	1631	3167
340	1635	3161
341	1640	3156
342	1645	3152
343	1650	3147
344	1654	3141
345	1659	3136
346	1663	3130
347	1668	3125
348	1672	3119
349	1676	3113
350	1680	3107
351	1684	3101
352	1688	3095
353	1692	3089
354	1696	3082
355	1700	3077
356	1705	3071
357	1709	3065
358	1713	3060
359	1718	3054
360	1722	3049
361	1727	3044
362	1731	3038
363	1736	3033
364	1741	3028
365	1745	3023
366	1750	3018
367	1753	3012
368	1758	3007
369	1762	3001
370	1767	2996
371	1771	2990
372	1775	2984
373	1780	2979
374	1784	2974
375	1789	2969
376	1793	2963
377	1797	2958
378	1801	2952
379	1806	2946
380	1810	2941
381	1814	2935
382	1818	2930
383	1822	2924
384	1827	2918
385	1831	2912
386	1835	2906
387	1839	2901
388	1844	2897
389	1849	2892
390	1853	2886
391	1857	2881
392	1862	2875
393	1865	2870
394	1870	2864
395	1874	2859
396	1878	2853
397	1883	2848
398	1886	2842
399	1891	2837
400	1895	2832
401	1900	2827
402	1904	2821
403	1909	2817
404	1914	2812
405	1918	2806
406	1922	2801
407	1926	2795
408	1931	2790
409	1935	2785
410	1940	2781
411	1944	2775
412	1948	2769
413	1952	2764
414	1956	2758
415	1961	2753
416	1965	2747
417	1969	2742
418	1973	2736
419	1978	2731
420	1982	2727
421	1987	2722
422	1991	2716
423	1995	2711
424	2000	2706
425	2004	2701
426	2009	2696
427	2013	2690
428	2017	2685
429	2021	2680
430	2026	2675
431	2030	2670
432	2034	2664
433	2039	2659
434	2043	2654
435	2048	2649
436	2052	2643
437	2055	2637
438	2060	2632
439	2065	2628
440	2069	2622
441	2073	2617
442	2078	2612
443	2082	2607
444	2086	2602
445	2091	2598
446	2095	2592
447	2099	2587
448	2104	2582
449	2108	2576
450	2113	2572
451	2117	2566
452	2121	2561
453	2125	2556
454	2129	2551
455	2134	2546
456	2138	2540
457	2143	2536
458	2147	2530
459	2151	2525
460	2156	2520
461	2160	2516
462	2165	2511
463	2169	2506
464	2174	2501
465	2178	2495
466	2182	2491
467	2186	2485
468	2190	2480
469	2195	2475
470	2199	2470
471	2203	2464
472	2207	2459
473	2211	2454
474	2215	2449
475	2220	2443
476	2224	2438
477	2228	2433
478	2233	2428
479	2236	2423
480	2240	2418
481	2245	2412
482	2249	2407
483	2253	2402
484	2257	2396
485	2261	2391
486	2265	2386
487	2269	2380
488	2273	2376
489	2277	2370
490	2282	2365
491	2286	2360
492	2290	2355
493	2294	2349
494	2298	2344
495	2302	2339
496	2306	2334
497	2311	2329
498	2315	2324
499	2319	2319
500	2323	2314
501	2328	2309
502	2332	2304
503	2336	2299
504	2339	2293
505	2344	2288
506	2348	2283
507	2352	2278
508	2356	2272
509	2360	2267
510	2364	2262
511	2368	2257
512	2373	2252
513	2377	2247
514	2382	2243
515	2386	2238
516	2391	2233
517	2395	2229
518	2400	2224
519	2404	2219
520	2408	2214
521	2413	2209
522	2417	2204
523	2421	2200
524	2426	2195
525	2430	2190
526	2435	2186
527	2439	2180
528	2444	2176
529	2448	2171
530	2452	2166
531	2457	2161
532	2461	2156
533	2465	2151
534	2469	2146
535	2474	2142
536	2478	2137
537	2483	2132
538	2487	2127
539	2491	2122
540	2496	2118
541	2501	2113
542	2505	2108
543	2510	2103
544	2514	2098
545	2519	2094
546	2523	2089
547	2527	2084
548	2531	2080
549	2536	2075
550	2540	2069
551	2544	2064
552	2548	2059
553	2553	2055
554	2557	2050
555	2561	2045
556	2566	2041
557	2570	2036
558	2575	2031
559	2580	2027
560	2584	2022
561	2588	2017
562	2593	2012
563	2597	2008
564	2601	2003
565	2605	1998
566	2610	1993
567	2613	1988
568	2617	1983
569	2622	1978
570	2626	1973
571	2631	1968
572	2635	1963
573	2639	1959
574	2643	1954
575	2648	1949
576	2652	1944
577	2656	1939
578	2661	1935
579	2665	1930
580	2669	1925
581	2674	1920
582	2678	1915
583	2683	1911
584	2687	1906
585	2691	1901
586	2696	1896
587	2700	1892
588	2705	1887
589	2709	1883
590	2713	1878
591	2718	1873
592	2722	1868
593	2727	1864
594	2731	1859
595	2735	1854
596	2740	1849
597	2745	1845
598	2749	1840
599	2754	1836
600	2758	1831
601	2763	1826
602	2767	1821
603	2771	1817
604	2775	1812
605	2779	1807
606	2784	1802
607	2788	1797
608	2793	1793
609	2797	1788
610	2801	1783
611	2806	1779
612	2810	1774
613	2814	1769
614	2819	1765
615	2824	1760
616	2829	1756
617	2833	1751
618	2837	1746
619	2841	1741
620	2846	1736
621	2850	1732
622	2854	1727
623	2858	1722
624	2862	1717
625	2867	1713
626	2871	1708
627	2876	1703
628	2880	1698
629	2884	1694
630	2889	1689
631	2893	1684
632	2897	1679
633	2901	1675
634	2905	1670
635	2910	1665
636	2914	1660
637	2919	1656
638	2923	1651
639	2928	1647
640	2933	1642
641	2937	1637
642	2941	1632
643	2945	1628
644	2949	1623
645	2953	1618
646	2957	1613
647	2961	1608
648	2965	1603
649	2970	1599
650	2974	1594
651	2979	1590
652	2983	1585
653	2987	1580
654	2991	1575
655	2996	1571
656	3000	1566
657	3005	1562
658	3009	1557
659	3014	1552
660	3018	1548
661	3023	1543
662	3027	1538
663	3031	1534
664	3036	1529
665	3040	1524
666	3045	1520
667	3050	1516
668	3054	1511
669	3059	1506
670	3063	1502
671	3068	1497
672	3073	1493
673	3077	1488
674	3082	1484
675	3088	1480
676	3093	1475
677	3097	1471
678	3102	1466
679	3107	1462
680	3111	1457
681	3116	1453
682	3120	1448
683	3125	1444
684	3131	1439
685	3135	1435
686	3140	1430
687	3144	1426
688	3149	1421
689	3154	1417
690	3158	1412
691	3163	1407
692	3167	1403
693	3172	1398
694	3177	1394
695	3182	1389
696	3186	1385
697	3192	1381
698	3196	1376
699	3201	1372
700	3206	1367
701	3211	1363
702	3217	1359
703	3221	1354
704	3226	1350
705	3230	1345
706	3236	1341
707	3240	1336
708	3245	1332
709	3250	1327
710	3254	1322
711	3259	1318
712	3264	1314
713	3269	1309
714	3274	1305
715	3279	1300
716	3283	1295
717	3287	1291
718	3292	1286
719	3296	1282
720	3301	1277
721	3305	1272
722	3310	1268
723	3315	1263
724	3320	1259
725	3324	1254
726	3329	1250
727	3334	1245
728	3339	1241
729	3344	1236
730	3348	1232
731	3352	1227
732	3357	1223
733	3362	1218
734	3367	1214
735	3371	1209
736	3376	1204
737	3380	1200
738	3385	1195
739	3389	1190
740	3394	1186
741	3398	1181
742	3403	1177
743	3407	1172
744	3411	1167
745	3416	1163
746	3420	1158
747	3425	1153
748	3429	1149
749	3433	1144
750	3438	1140
751	3443	1135
752	3448	1131
753	3452	1126
754	3457	1121
755	3461	1117
756	3465	1112
757	3470	1107
758	3475	1103
759	3479	1098
760	3484	1094
761	3488	1089
762	3492	1084
763	3497	1080
764	3502	1076
765	3507	1071
766	3512	1066
767	3516	1062
768	3521	1057
769	3525	1053
770	3530	1048
771	3535	1044
772	3539	1039
773	3543	1034
774	3548	1030
775	3552	1025
776	3557	1020
777	3561	1016
778	3566	1011
779	3570	1007
780	3575	1002
781	3579	997
782	3583	993
783	3588	988
784	3592	983
785	3596	979
786	3601	974
787	3605	970
788	3610	965
789	3614	960
790	3619	956
791	3623	951
792	3628	947
793	3633	942
794	3637	938
795	3641	933
796	3645	928
797	3650	923
798	3654	919
799	3658	914
800	3663	910
801	3667	905
802	3672	900
803	3676	896
804	3681	891
805	3686	887
806	3690	882
807	3695	878
808	3699	873
809	3704	868
810	3708	864
811	3713	859
812	3718	855
813	3722	850
814	3726	846
815	3731	841
816	3735	836
817	3740	832
818	3744	827
819	3749	822
820	3753	818
821	3757	813
822	3761	809
823	3765	804
824	3770	799
825	3774	795
826	3779	790
827	3783	785
828	3787	781
829	3791	776
830	3796	772
831	3800	767
832	3804	762
833	3808	758
834	3813	753
835	3818	749
836	3822	744
837	3826	739
838	3830	735
839	3835	730
840	3839	725
841	3843	721
842	3848	716
843	3853	712
844	3857	707
845	3862	703
846	3867	698
847	3871	693
848	3875	689
849	3880	684
850	3884	680
851	3889	675
852	3894	671
853	3898	666
854	3903	661
855	3907	657
856	3912	652
857	3917	648
858	3921	643
859	3925	639
860	3929	634
861	3934	629
862	3938	625
863	3942	620
864	3947	616
865	3951	611
866	3956	606
867	3960	602
868	3964	597
869	3969	593
870	3973	588
871	3977	583
872	3981	579
873	3985	574
874	3990	570
875	3995	565
876	3999	560
877	4003	556
878	4008	551
879	4012	547
880	4017	542
881	4021	538
882	4026	533
883	4030	528
884	4034	524
885	4039	519
886	4043	515
887	4047	510
888	4051	505
889	4056	501
890	4061	496
891	4065	492
892	4070	487
893	4073	483
894	4078	478
895	4082	473
896	4087	469
897	4091	464
898	4096	460
899	4100	455
900	4104	451
901	4108	446
902	4113	441
903	4117	437
904	4121	432
905	4126	428
906	4130	423
907	4134	418
908	4139	414
909	4143	409
910	4148	405
911	4152	400
912	4157	396
913	4161	391
914	4166	387
915	4170	382
916	4175	377
917	4179	373
918	4184	368
919	4188	364
920	4193	359
921	4197	355
922	4202	350
923	4207	346
924	4212	341
925	4217	337
926	4221	332
927	4225	327
928	4230	323
929	4234	318
930	4239	314
931	4244	309
932	4248	305
933	4253	300
934	4258	296
935	4262	291
936	4267	286
937	4272	282
938	4277	277
939	4281	273
940	4285	268
941	4289	264
942	4294	259
943	4299	255
944	4304	250
945	4308	245
946	4312	241
947	4317	236
948	4321	232
949	4325	227
950	4330	223
951	4335	218
952	4339	214
953	4344	209
954	4349	204
955	4354	200
956	4358	195
957	4363	191
958	4368	186
959	4372	182
960	4376	177
961	4381	173
962	4386	168
963	4390	163
964	4395	159
965	4399	154
966	4403	150
967	4408	145
968	4412	141
969	4416	136
970	4421	132
971	4425	127
972	4429	122
973	4433	118
974	4438	113
975	4442	109
976	4446	104
977	4450	100
978	4454	95
979	4459	91
980	4463	86
981	4467	81
982	4471	77
983	4476	72
984	4480	68
985	4484	63
986	4488	59
987	4493	54
988	4497	50
989	4501	45
990	4505	40
991	4509	36
992	4513	31
993	4517	27
994	4521	22
995	4524	18
996	4529	13
997	4533	9
998	4537	4
999	4541	0
