iter	RMSE
210	46146.27002
211	46112.74239
212	46044.95166
213	46010.02914
214	45959.60693
215	45933.1865
216	45918.53808
217	45894.09502
218	45859.17251
219	45818.84336
220	45793.16777
221	45746.85053
222	45717.2378
223	45688.40859
224	45671.05937
225	45617.50166
226	45581.4242
227	45547.60354
228	45525.00814
229	45472.42993
230	45436.1003
231	45412.10659
232	45352.47803
233	45328.49591
234	45285.00821
235	45242.50676
236	45212.05838
237	45174.4931
238	45144.95873
239	45104.04663
240	45074.53324
241	45031.36535
242	45001.76422
243	44976.8637
244	44944.83262
245	44912.39309
246	44891.48073
247	44848.80338
248	44821.67636
249	44796.26698
250	44758.21428
251	44698.56663
252	44666.99115
253	44633.81715
254	44604.22075
255	44575.32602
256	44554.23692
257	44528.29581
258	44497.97591
259	44455.41311
260	44419.13832
261	44379.09933
262	44349.38202
263	44315.24371
264	44283.06159
265	44251.43465
266	44200.36343
267	44178.80107
268	44159.00448
269	44127.44978
270	44108.92957
271	44067.42772
272	44031.39301
273	43998.72728
274	43975.0912
275	43943.31443
276	43918.63149
277	43876.35675
278	43856.21253
279	43817.4118
280	43791.7127
281	43771.32277
282	43745.46689
283	43704.50394
284	43671.54253
285	43649.49589
286	43618.80157
287	43604.58884
288	43581.47761
289	43556.63052
290	43538.36174
291	43513.05627
292	43486.05942
293	43458.82998
294	43444.71898
295	43425.74533
296	43408.62135
297	43384.47452
298	43358.68656
299	43342.39903
300	43313.13403
301	43291.09687
302	43265.2681
303	43237.28304
304	43212.39311
305	43177.33407
306	43135.58158
307	43114.67056
308	43090.69793
309	43063.32963
310	43038.1634
311	43007.93408
312	42987.64161
313	42969.93052
314	42940.87194
315	42922.79193
316	42891.74919
317	42855.65065
318	42839.27915
319	42812.21886
320	42788.61058
321	42771.5449
322	42752.24114
323	42725.85101
324	42696.93531
325	42659.88383
326	42636.74367
327	42610.86679
328	42595.63519
329	42562.61215
330	42547.98269
331	42523.36598
332	42497.03672
333	42485.92405
334	42455.82406
335	42430.57882
336	42396.63673
337	42371.52495
338	42350.98866
339	42337.06413
340	42311.25406
341	42287.44263
342	42264.59268
343	42241.13801
344	42216.56629
345	42196.40785
346	42170.64128
347	42151.33717
348	42130.78195
349	42113.94669
350	42089.88077
351	42071.36167
352	42055.10598
353	42032.87869
354	42013.54504
355	41983.34329
356	41955.68712
357	41924.04063
358	41907.08623
359	41876.13532
360	41853.19569
361	41835.37327
362	41816.76314
363	41798.1641
364	41773.57751
365	41738.66882
366	41708.16786
367	41689.09534
368	41669.75784
369	41642.50368
370	41615.34149
371	41603.61656
372	41581.29133
373	41551.12204
374	41529.72931
375	41514.20098
376	41492.97876
377	41475.41052
378	41455.27972
379	41438.98806
380	41423.33864
381	41392.64991
382	41368.16362
383	41350.53294
384	41324.07595
385	41301.08811
386	41280.90734
387	41261.74683
388	41241.77845
389	41223.32114
390	41205.24716
391	41188.47524
392	41159.9698
393	41145.44244
394	41131.4306
395	41117.3001
396	41096.28232
397	41080.58551
398	41059.46856
399	41024.10038
400	41011.27076
401	40996.94727
402	40963.07994
403	40952.52042
404	40939.62457
405	40922.85962
406	40909.18869
407	40894.98722
408	40870.28966
409	40851.44869
410	40839.04018
411	40823.70723
412	40811.3741
413	40791.99895
414	40772.60109
415	40732.25502
416	40723.16932
417	40688.31436
418	40669.75523
419	40652.60736
420	40627.86478
421	40597.37504
422	40578.39924
423	40554.6596
424	40539.62675
425	40522.74812
426	40508.90343
427	40483.30588
428	40457.16024
429	40436.09867
430	40416.70375
431	40388.91823
432	40374.05386
433	40362.07117
434	40332.00406
435	40316.29849
436	40288.04705
437	40273.61497
438	40260.26944
439	40244.06788
440	40221.77943
441	40209.83966
442	40175.45081
443	40160.70781
444	40139.99427
445	40119.69485
446	40102.94819
447	40093.65177
448	40067.87245
449	40048.44179
450	40027.56548
451	40010.22085
452	39989.94601
453	39970.01182
454	39955.1033
455	39936.56216
456	39919.37307
457	39902.43271
458	39884.6273
459	39871.23128
460	39854.4487
461	39840.62752
462	39820.79326
463	39802.0189
464	39779.78054
465	39770.88337
466	39752.84109
467	39739.85875
468	39727.24482
469	39712.13489
470	39694.10816
471	39681.94331
472	39663.0733
473	39643.10728
474	39632.27685
475	39620.88199
476	39608.17988
477	39596.39627
478	39580.21784
479	39566.79662
480	39544.7706
481	39523.89512
482	39509.02565
483	39495.96981
484	39473.78264
485	39456.57307
486	39429.16195
487	39420.94489
488	39403.98512
489	39393.05659
490	39371.93814
491	39359.91376
492	39342.5643
493	39323.32873
494	39296.1979
495	39278.08118
496	39261.75413
497	39240.57732
498	39234.13666
499	39222.16406
500	39204.56663
501	39179.85188
502	39168.84979
503	39149.29491
504	39135.7441
505	39124.96022
506	39111.88263
507	39098.82932
508	39083.61072
509	39075.61826
510	39055.50545
511	39039.80671
512	39025.41606
513	39013.47167
514	39000.62093
515	38985.14057
516	38963.53683
517	38948.38454
518	38938.55708
519	38928.6984
520	38911.68039
521	38900.36378
522	38887.5829
523	38873.97518
524	38853.06758
525	38837.81313
526	38828.96823
527	38818.52946
528	38804.83947
529	38788.08976
530	38775.65333
531	38766.60731
532	38745.68986
533	38726.12298
534	38702.34771
535	38687.45356
536	38672.39158
537	38655.71384
538	38645.94722
539	38631.8197
540	38615.78754
541	38594.51718
542	38586.09754
543	38567.65212
544	38554.29223
545	38536.9688
546	38525.85866
547	38515.43813
548	38485.64212
549	38470.98053
550	38465.30661
551	38456.52721
552	38442.12968
553	38425.50661
554	38413.80004
555	38399.82564
556	38379.71682
557	38365.22011
558	38346.91008
559	38334.20132
560	38322.62132
561	38308.82784
562	38292.22793
563	38281.78806
564	38273.43508
565	38258.96698
566	38242.31003
567	38231.79993
568	38222.3063
569	38208.94842
570	38198.34756
571	38167.78716
572	38157.46638
573	38134.0382
574	38123.36861
575	38109.3708
576	38091.16107
577	38075.95802
578	38066.95139
579	38057.99745
580	38046.4249
581	38037.57145
582	38026.04391
583	38008.79398
584	37994.86977
585	37982.67322
586	37971.30753
587	37959.91391
588	37951.86953
589	37931.85979
590	37920.76353
591	37909.91633
592	37896.90452
593	37875.15485
594	37867.10424
595	37851.77906
596	37838.19893
597	37827.42804
598	37818.33425
599	37808.56911
600	37794.23246
601	37778.25307
602	37762.95046
603	37746.70924
604	37741.3217
605	37727.97277
606	37718.58025
607	37701.88045
608	37693.76355
609	37680.17399
610	37669.00979
611	37652.71039
612	37647.3826
613	37632.57655
614	37625.78137
615	37605.93284
616	37591.57342
617	37581.035
618	37568.61409
619	37550.90162
620	37536.03991
621	37526.16755
622	37517.41843
623	37502.55695
624	37487.76619
625	37473.11916
626	37457.19316
627	37442.81293
628	37433.655
629	37418.48705
630	37410.70229
631	37401.14677
632	37390.92327
633	37380.35546
634	37368.40887
635	37358.66826
636	37346.41705
637	37330.1773
638	37320.4685
639	37308.82732
640	37295.33733
641	37279.40942
642	37267.22685
643	37257.30928
644	37244.13
645	37234.78032
646	37221.98873
647	37209.15625
648	37199.52232
649	37182.8445
650	37167.09444
651	37153.00554
652	37142.34523
653	37130.84585
654	37126.33638
655	37114.4275
656	37100.40176
657	37092.37683
658	37082.8202
659	37065.22514
660	37046.1392
661	37034.10526
662	37019.62853
663	37007.2098
664	36992.1907
665	36983.12553
666	36972.12159
667	36963.62175
668	36949.67877
669	36943.97924
670	36936.07748
671	36922.96692
672	36903.22287
673	36892.58007
674	36879.86215
675	36866.10736
676	36855.26736
677	36845.78692
678	36830.69059
679	36813.83019
680	36800.42304
681	36788.78158
682	36778.83714
683	36769.98395
684	36761.79273
685	36750.74151
686	36736.61121
687	36728.46719
688	36713.13751
689	36697.81245
690	36687.86247
691	36679.64564
692	36665.63695
693	36648.37468
694	36639.30844
695	36626.96097
696	36617.85296
697	36609.26936
698	36601.42272
699	36584.50954
700	36568.65394
701	36554.60569
702	36546.4497
703	36537.27112
704	36519.0617
705	36505.37534
706	36493.05981
707	36479.61052
708	36464.58327
709	36448.96933
710	36438.76485
711	36427.1878
712	36417.1048
713	36399.8749
714	36384.78425
715	36368.9266
716	36361.67445
717	36354.08914
718	36343.45091
719	36326.72616
720	36314.51641
721	36306.14605
722	36295.27861
723	36280.57908
724	36270.86119
725	36263.81206
726	36252.90603
727	36242.60287
728	36235.18315
729	36224.07766
730	36211.05226
731	36196.68463
732	36188.17475
733	36180.69763
734	36169.73202
735	36160.48003
736	36147.01549
737	36137.91313
738	36127.86253
739	36113.4882
740	36102.38031
741	36090.3536
742	36078.32711
743	36063.68355
744	36055.76259
745	36043.10821
746	36030.47733
747	36017.14774
748	36003.76481
749	35996.93224
750	35985.89509
751	35976.99154
752	35964.75817
753	35957.52867
754	35945.29415
755	35936.40525
756	35925.81371
757	35919.76798
758	35909.07042
759	35898.54305
760	35885.82545
761	35869.66287
762	35862.73792
763	35855.52108
764	35841.09372
765	35829.54618
766	35819.45018
767	35808.98045
768	35800.20338
769	35792.41277
770	35782.42322
771	35771.60023
772	35765.67497
773	35759.3823
774	35747.32148
775	35732.87668
776	35725.04544
777	35712.18364
778	35697.64116
779	35689.07945
780	35678.91967
781	35670.07585
782	35656.10309
783	35642.36819
784	35631.89062
785	35621.89976
786	35612.8995
787	35603.20841
788	35594.0944
789	35579.63333
790	35573.69196
791	35562.18635
792	35552.38439
793	35544.75953
794	35534.03205
795	35525.43412
796	35521.91244
797	35514.62164
798	35493.88972
799	35484.24971
800	35473.52258
801	35461.53172
802	35450.50032
803	35435.06222
804	35427.36584
805	35421.42775
806	35411.54905
807	35399.83369
808	35387.57792
809	35380.52188
810	35374.06185
811	35365.40368
812	35354.88818
813	35343.6915
814	35336.2497
815	35329.49489
816	35319.72847
817	35309.04957
818	35297.68864
819	35287.25776
820	35275.7857
821	35267.55843
822	35259.89351
823	35248.45038
824	35238.42217
825	35228.36876
826	35216.27551
827	35210.16872
828	35198.26611
829	35190.35325
830	35177.74993
831	35167.38602
832	35159.17563
833	35145.3007
834	35130.91332
835	35122.47217
836	35110.3158
837	35104.04027
838	35096.39858
839	35085.47732
840	35074.45152
841	35064.47826
842	35054.5854
843	35045.12031
844	35039.49114
845	35031.43472
846	35022.39949
847	35012.63261
848	34999.1161
849	34989.95803
850	34981.69867
851	34970.48174
852	34966.42839
853	34961.24667
854	34950.79318
855	34940.30416
856	34932.49815
857	34927.18004
858	34918.44628
859	34912.16231
860	34904.13479
861	34890.63956
862	34877.88993
863	34867.67695
864	34857.17866
865	34851.62989
866	34835.34989
867	34827.62404
868	34815.6353
869	34803.5365
870	34795.64904
871	34790.47174
872	34781.64214
873	34772.35854
874	34762.03434
875	34746.67806
876	34739.40411
877	34727.6561
878	34720.17168
879	34712.16763
880	34701.39017
881	34688.40945
882	34683.2968
883	34672.38872
884	34660.73105
885	34648.86569
886	34642.16328
887	34633.58026
888	34626.38728
889	34614.29523
890	34600.90435
891	34590.75072
892	34583.21258
893	34572.69408
894	34569.00689
895	34557.81284
896	34549.43797
897	34540.93536
898	34532.92557
899	34524.24935
900	34518.73357
901	34510.11821
902	34500.96922
903	34494.08817
904	34486.50626
905	34480.89971
906	34472.25735
907	34466.3371
908	34457.43031
909	34442.68326
910	34434.20965
911	34423.92538
912	34418.30629
913	34408.4916
914	34393.48681
915	34381.01111
916	34372.18453
917	34360.97274
918	34348.83714
919	34337.67594
920	34331.84718
921	34324.1559
922	34317.68508
923	34312.45859
924	34299.7118
925	34287.67691
926	34276.34446
927	34262.40587
928	34254.74461
929	34238.91463
930	34227.52191
931	34222.57972
932	34215.69533
933	34208.14048
934	34197.72744
935	34192.54949
936	34185.93055
937	34178.99405
938	34169.07482
939	34164.56386
940	34154.53231
941	34144.01435
942	34135.3957
943	34123.21052
944	34109.81597
945	34099.39144
946	34087.81471
947	34076.50768
948	34069.10363
949	34061.30237
950	34055.45516
951	34045.88586
952	34039.22417
953	34027.48624
954	34021.31849
955	34014.69197
956	34002.7818
957	33998.32938
958	33982.36841
959	33975.01619
960	33969.10012
961	33961.54262
962	33952.89994
963	33940.1214
964	33930.0392
965	33921.49403
966	33912.31156
967	33906.86852
968	33897.37912
969	33888.78439
970	33879.38037
971	33870.34113
972	33863.63054
973	33856.96488
974	33850.73076
975	33833.61328
976	33826.35302
977	33814.52169
978	33807.60679
979	33802.09935
980	33794.49576
981	33788.1773
982	33773.80193
983	33758.29855
984	33751.7267
985	33742.48574
986	33737.5847
987	33726.00586
988	33722.11689
989	33713.288
990	33701.70645
991	33695.12283
992	33690.21163
993	33684.31629
994	33673.32634
995	33667.72431
996	33661.99097
997	33652.52362
998	33645.46439
999	33637.59389
